PC1,DeltaG_kJ_mol
8.439375038561552245e+00,3.457887577492512410e+00
8.568969720921662869e+00,3.457887577492512410e+00
8.698564403281773494e+00,3.457887577492512410e+00
8.828159085641884118e+00,3.457887577492512410e+00
8.957753768001994743e+00,3.457887577492512410e+00
9.087348450362105368e+00,3.457887577492512410e+00
9.216943132722215992e+00,3.457887577492512410e+00
9.346537815082326617e+00,3.457887577492512410e+00
9.476132497442437241e+00,1.728943788746255539e+00
9.605727179802547866e+00,7.175765064749359823e-01
9.735321862162658491e+00,3.457887577492512410e+00
9.864916544522769115e+00,3.457887577492512410e+00
9.994511226882879740e+00,3.457887577492512410e+00
1.012410590924299036e+01,3.457887577492512410e+00
1.025370059160310099e+01,3.457887577492512410e+00
1.038329527396320984e+01,3.457887577492512410e+00
1.051288995632331869e+01,3.457887577492512410e+00
1.064248463868342931e+01,3.457887577492512410e+00
1.077207932104353993e+01,3.457887577492512410e+00
1.090167400340365056e+01,3.457887577492512410e+00
1.103126868576376118e+01,3.457887577492512410e+00
1.116086336812387181e+01,3.457887577492512410e+00
1.129045805048398243e+01,3.457887577492512410e+00
1.142005273284409306e+01,3.457887577492512410e+00
1.154964741520420368e+01,3.457887577492512410e+00
1.167924209756431431e+01,3.457887577492512410e+00
1.180883677992442493e+01,3.457887577492512410e+00
1.193843146228453556e+01,3.457887577492512410e+00
1.206802614464464618e+01,3.457887577492512410e+00
